athlete_id,race_date,fidal_event,race_name,distance_m,official_time_seconds,official_time_text,official_performance_raw,surface_type,timing_type,category,placement,wind,city,source,source_url,analysis_scope,include_in_race_context,notes,confidence_level
single_athlete_001,2022-06-25,1000 metri,1000 metri - Feltre,1000,181.18,3:01.18,3:01.18,Pista,Elettrico,CM,9 se- 1,,Feltre,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2022-07-10,1000 metri,1000 metri - Grumolo Delle Abbadesse,1000,178.84,2:58.84,2:58.84,Pista,Elettrico,CM,4 su- 1,,Grumolo Delle Abbadesse,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2022-08-26,2000 metri,2000 metri - Venezia,2000,394.37,6:34.37,6:34.37,Pista,Elettrico,CM,4 su- 1,,Venezia,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2022-09-17,1000 metri,1000 metri - Venezia,1000,176.12,2:56.12,2:56.12,Pista,Elettrico,CM,2 se- 3,,Venezia,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2022-09-18,2000 metri,2000 metri - Venezia,2000,385.16,6:25.16,6:25.16,Pista,Elettrico,CM,7 se- 1,,Venezia,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2023-04-01,3000 metri,3000 metri - Venezia,3000,611.12,10:11.12,10:11.12,Pista,Elettrico,AM,1 su- 1,,Venezia,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2023-04-29,400 metri,400 metri - San Biagio Di Callalta,400,59.03,59.03,59.03,Pista,Elettrico,AM,4 se- 6,,San Biagio Di Callalta,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,sprint_middle,yes,,high
single_athlete_001,2023-05-01,3000 metri,3000 metri - Padova,3000,621.75,10:21.75,10:21.75,Pista,Elettrico,AM,6 se- 2,,Padova,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2023-05-13,1500 metri,1500 metri - Padova,1500,275.28,4:35.28,4:35.28,Pista,Elettrico,AM,3 se- 5,,Padova,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2023-05-27,1500 metri,1500 metri - Caorle,1500,270.99,4:30.99,4:30.99,Pista,Elettrico,AM,8 se- 3,,Caorle,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2023-05-28,5000 metri,5000 metri - Caorle,5000,1093.91,18:13.91,18:13.91,Pista,Elettrico,AM,12 se- 2,,Caorle,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2023-06-13,2000 siepi H84,2000 siepi H84 - Venezia,2000,412.1,6:52.10,6:52.10,Pista,Elettrico,AM,7 su- 1,,Venezia,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2023-09-09,1500 metri,1500 metri - Venezia,1500,262.83,4:22.83,4:22.83,Pista,Elettrico,AM,12 se- 1,,Venezia,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2023-09-10,3000 metri,3000 metri - Venezia,3000,583.52,9:43.52,9:43.52,Pista,Elettrico,AM,6 su- 1,,Venezia,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2024-01-27,1500 metri,1500 metri - Padova,1500,270.8,4:30.80,4:30.80,Indoor,Elettrico,AM,6 se- 6,,Padova,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2024-04-07,500 metri,500 metri - Mestre,500,73.94,1:13.94,1:13.94,Pista,Elettrico,AM,6 se- 2,,Mestre,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,sprint_middle,yes,,high
single_athlete_001,2024-04-14,Corsa 30' Allievi,Corsa 30' Allievi - Treviso,8154,1800.0,30:00,8154,Pista,Non specificato,AM,4 su- 1,,Treviso,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,FIDAL performance is distance covered in 30 minutes: 8154 m.,high
